keyword,avg_user_count_score
hardcourt,1158.5
outdoor,1238.76
los,196.55
cabos,2493.4
mexico,2493.4
atp,6577.4
men,697.64
single,4927.57
2025,958.37
colton,1796.67
smith,1300.15
usa,1913.1
red,177.26
clay,125.99
hamburg,1186.0
germany,764.5
wta,5145.48
woman,304.42
louisa,1186.0
chirico,1186.0
granby,885.12
canada,6856.63
challenger,708.32
eliot,2083.33
spizzirri,2083.33
patrick,825.42
kypson,1251.6
pozoblanco,1260.0
spain,1260.0
darwin,1269.5
blanch,713.6
qualifying,823.23
karl,91.5
poling,122.67
andres,601.71
martin,361.26
alfredo,404.57
perez,404.57
maloney,521.0
porto,431.33
portugal,431.33
125,1027.38
125k,1027.38
emina,746.0
bektas,746.0
rome,1206.4
italy,1180.33
varvara,1312.0
lepchenko,1312.0
claire,790.75
liu,646.7
itf,179.91
m15,98.91
hillcrest,52.86
gray,10.0
voelzke,14.0
adhithya,172.0
ganesan,172.0
billy,30.0
suarez,30.0
nakhon,180.33
pathom,180.33
michael,236.93
zhu,180.57
rochester,63.24
alexander,95.18
razeghi,76.0
matthew,59.5
forbes,73.0
matt,123.0
kuhar,123.0
liam,18.0
krall,64.25
drew,25.4
fishback,62.38
santa,137.52
tecla,137.52
alex,2496.83
finkelstein,12.0
noah,126.73
schachter,188.6
slobozia,46.5
julian,19.0
messina,19.0
frusina,74.0
m25,152.75
gandia,258.6
tristan,648.94
mccormick,258.6
kramsach,46.0
richard,46.0
zusman,46.0
w15,77.97
victoria,125.93
mulville,5.0
hibah,72.0
shaikh,72.0
huamantla,98.27
ava,28.09
rodriguez,15.25
shria,49.0
atturu,49.0
luan,129.43
amy,92.83
w35,182.88
monastir,109.36
malkia,85.0
ngounoue,745.22
w75,297.36
lilian,65.33
katrina,380.0
scott,380.0
vitoria,63.0
gasteiz,63.0
ellie,63.0
schoppe,63.0
utr,22.66
ptt,22.6
brisbane,38.0
group,22.26
oliver,28.75
statham,38.0
krakow,17.5
teodor,29.0
davidov,29.0
indoor,17.96
boston,13.18
sophia,8.14
holod,7.5
bruno,375.91
jennifer,16.0
riester,16.0
alice,10.25
ellison,19.7
reynoldson,19.7
elana,0.0
zaretsky,0.0
yana,9.0
gurevich,9.0
julie,17.0
bedard,17.0
allison,22.0
nicole,22.0
isaac,22.0
dusseldorf,12.0
karma,12.0
yacavino,12.0
tola,14.0
glowacka,14.0
emilio,3308.8
nava,3308.8
govind,628.0
nanda,628.0
aidan,701.57
mayo,692.43
preston,147.33
brown,67.71
andrew,94.88
delgado,14.0
van,77.75
orderlain,56.0
maksim,13.0
tikhomirov,13.0
daniel,156.33
milavsky,156.33
zachary,1588.38
cohen,5.0
castelo,163.25
branco,163.25
axel,170.0
nefve,170.0
louisville,109.35
dillon,57.0
beckles,57.0
nicolas,81.0
ian,77.18
kotzen,75.91
samir,251.0
banerjee,251.0
sekou,172.0
bangoura,172.0
kelly,5.0
giese,5.0
mayew,20.0
keshav,77.0
chopra,77.0
kobelt,47.0
christian,519.0
langmo,519.0
jack,55.5
anthrop,110.0
dalayna,294.0
hewitt,294.0
sydney,18.0
jara,18.0
dasha,192.0
ivanova,192.0
julia,88.2
adam,54.78
w50,244.21
nottingham,36.0
jamilah,36.0
snells,36.0
fiona,288.0
crawley,288.0
lea,203.0
maria,551.0
mateas,551.0
ayana,226.0
akli,226.0
newport,31.22
beach,31.22
brooklyn,23.86
olson,23.86
maya,6.0
youssef,6.0
mika,5.0
ikemori,5.0
myanh,7.0
holmes,7.0
polina,22.0
marakhtanova,22.0
hina,391.0
inoue,391.0
ilija,7.0
palavestra,7.0
nathan,140.8
cox,6.0
cyrus,34.0
mahjoob,34.0
evan,43.62
bynoe,69.0
antonius,43.0
victor,202.0
lilov,202.0
thomson,46.0
vignesh,21.0
gogineni,21.0
anne,61.0
christine,61.0
lutkemeyer,61.0
obregon,61.0
ashley,181.0
lahey,181.0
caroline,1061.08
driscoll,3.6
webster,9.0
manzi,27.0
paula,27.6
dougherty,27.6
camille,80.0
kiss,92.0
maxine,9.6
murphy,9.43
ryan,98.55
dickerson,83.0
haley,217.75
giavara,217.75
playoff,24.25
aleksandar,3366.67
kovacevic,3366.67
washington,8939.98
thaison,367.0
kwiatkowski,367.0
tyler,366.33
zink,438.8
clervie,1085.67
dolehide,2287.0
bernard,126.25
maxwell,144.62
mckennon,156.86
budapest,21.63
matei,3.33
gavrea,3.33
1316,20.46
daniela,33.0
borruel,33.0
912,17.61
jake,31.0
fellow,31.0
svajda,1506.22
taylor,14452.86
townsend,2429.8
alana,144.2
bloomfield,1093.52
hill,1057.6
william,122.56
cooksey,8.0
spencer,140.5
johnson,47.53
garrett,675.71
john,675.71
kim,107.0
tampere,30.0
finland,30.0
bali,49.49
dominique,50.0
rolland,50.0
parker,11.0
christensen,11.0
natalie,9.0
lynch,3.0
ethan,1097.83
quinn,939.11
mackenzie,3872.67
mcdonald,1454.12
reilly,8025.33
opelka,8025.33
learner,6718.2
tien,6718.2
kaylan,433.5
bigun,433.5
palermo,1050.0
w100,508.26
evansville,661.25
maddy,12.0
zampardo,12.0
azuma,41.0
visaya,41.0
waco,25.22
dylan,30.86
waldorf,33.67
arin,5.0
pallegar,5.0
justin,28.67
chung,24.0
hugo,32.0
hashimoto,32.0
avery,12.0
tallakson,38.0
jacob,162.6
bullard,28.67
cooper,125.14
connor,12.0
smillie,12.0
landon,10.6
ardila,10.6
calvin,33.0
baierl,33.0
arman,50.0
zamani,50.0
bracks,73.78
kawaguchi,18.02
elena,23.0
mireles,25.0
tianna,8.0
rangan,8.0
alanis,46.0
hamilton,46.0
otis,8.0
elizabeth,196.88
coleman,23.86
eva,20.0
oxford,20.0
chloe,20.43
fouhety,16.6
brandon,6715.29
nakashima,6715.29
ben,37284.38
shelton,37284.38
michelsen,6055.14
mccartney,3351.33
kessler,3351.33
hailey,2937.5
baptiste,2937.5
venus,5375.5
williams,3675.0
nishesh,3057.17
basavareddy,3057.17
mwendwa,124.0
mbithi,124.0
lev,5.0
seidman,5.0
reid,25.33
jarvis,25.33
segrate,178.5
grant,178.5
champaign,165.35
braden,64.33
shick,64.33
woestendick,84.67
denia,258.0
ollersbach,46.0
misa,16.0
malkin,16.0
florence,192.54
carolyn,126.5
ansari,126.5
kaitlyn,22.0
mya,19.0
roll,19.0
valerie,147.0
glozman,147.0
carol,193.43
youngsuh,193.43
lee,193.43
osuigwe,548.5
mary,118.7
stoiana,233.25
sara,125.5
daavettila,125.5
emon,79.73
loben,79.73
sels,79.73
lyon,31.0
niels,49.0
hoffmann,49.0
tommy,23.0
czaplinski,23.0
sklar,5.0
phillips,5.0
kabeer,19.0
kapasi,19.0
brooke,10.27
lynn,10.27
schafer,10.27
sankavi,23.0
gownder,23.0
ishika,15.0
ashar,15.0
fritz,36388.0
vandecasteele,279.0
kuzuhara,504.88
lucas,23.0
horve,23.0
exsted,59.0
jon,10.0
gamble,10.0
ezekiel,197.0
clark,197.0
akasha,274.0
urhobo,274.0
emily,7.25
oliveira,29.0
salma,69.0
ewing,69.0
robin,241.6
anderson,343.0
trinetra,1.0
vijayakumar,1.0
catherine,1477.5
mcnally,1844.88
kallista,36.0
adriana,130.0
reami,130.0
ionescu,88.0
mandlik,955.0
anna,190.78
rogers,317.0
figueira,391.0
foz,391.0
jonathan,65.71
irwanto,65.71
benjamin,5.0
berger,5.0
alvarez,4.0
jessica,19591.0
pegula,19591.0
bacau,74.0
carnicella,23.0
kianah,20.0
motosono,20.0
kristina,79.67
penickova,217.0
alyssa,95.0
ahn,95.0
amelia,104.0
honer,104.0
jenna,102.0
defalco,102.0
hanna,542.0
chang,300.5
kayla,707.0
day,707.0
lincoln,20.96
russell,17.0
lokko,17.0
colson,28.29
well,28.29
prathinav,29.71
chunduru,28.53
henry,36.0
bilicic,12.0
redd,13.0
owen,10.6
abhinav,27.5
brody,66.86
nejedly,66.86
kale,20.0
mize,20.0
declan,9.0
galligan,9.0
wunderlich,11.0
chase,8.4
thompson,12.0
sanjeev,23.0
chundu,23.0
aryan,17.6
badlani,17.6
hedgecoe,17.0
elia,15.6
shokry,15.6
kailey,36.22
evans,36.22
katelynn,4.0
kock,4.0
stasny,2.0
yuzu,5.0
miyoshi,5.0
goetz,32.75
hadley,4.0
appling,4.0
walker,8.0
lucia,11.0
donnelly,11.0
kennedy,18.0
gibbs,18.0
nicholas,20.5
meyers,9.0
carter,9.0
pate,9.0
autumn,12.0
rabjohns,16.0
toronto,7422.44
boyer,1047.38
montreal,9745.81
katie,2212.33
volynets,2212.33
bernarda,2632.5
pera,2632.5
torres,9.2
theodore,29.0
dean,29.0
burnett,27.0
giuseppe,12.0
cerasuolo,12.0
andy,6.0
nguyen,8.67
gu,12.0
grumet,12.0
1720,15.69
andre,4.0
alcantara,4.0
zoe,17.12
olmos,16.0
danielle,8858.0
collins,3545.0
whitney,991.0
lexington,758.35
pranav,76.0
kumar,38.6
trey,246.0
hilderbrand,246.0
rybakov,500.0
trevor,427.0
keenan,43.0
matteo,0.0
huarte,0.0
deem,20.0
neha,6.67
guru,6.67
lani,10.0
brotman,10.0
marcos,4888.0
giron,4888.0
gentofte,49.0
oren,49.33
vasser,49.33
college,30.98
station,30.98
lovedale,19.91
joshua,181.2
mandelbaum,4.0
sean,16.0
daryabeigi,16.0
deacon,15.0
thomas,15.0
luka,33.75
butera,33.75
charlie,7.0
underwood,13.0
cassius,14.0
chinlund,14.0
shu,6.0
mia,17.0
saveljic,5.0
henderson,30.0
cristina,7.33
rovira,7.33
lucy,3.0
oyebog,3.0
alycia,3586.0
park,3586.0
ann,2207.0
ashlyn,3165.0
krueger,3165.0
coco,43158.0
gauff,43158.0
sofia,3210.0
kenin,6077.0
stefan,596.0
dostanic,317.0
zheng,598.0
hagen,343.0
augsburg,343.0
dali,343.0
xativa,259.0
edwardsville,223.26
kursumlijska,31.5
banja,31.5
jordyn,29.0
mcbride,29.0
roehampton,75.2
solymar,74.0
colling,74.0
eryn,297.0
cayetano,297.0
reese,55.0
sager,14.0
silva,22.0
eric,7.0
kuo,6.0
mitchell,17.0
deames,17.0
morgan,0.0
reya,9.0
coe,9.0
juliana,4.0
singeorzan,4.0
france,22321.71
tiafoe,22321.71
madison,7227.71
key,12488.0
amanda,11555.0
anisimova,11555.0
brazzaville,14.0
brumm,220.0
jonah,41.0
braswell,41.0
ponwith,174.0
allegre,8.0
elvina,548.0
kalieva,548.0
usue,308.0
maitane,308.0
arconada,308.0
blacksburg,17.11
angeles,23.85
janmagnus,45.0
robinson,4.4
gevorg,6.0
mnatsakanyan,6.0
blake,11.0
hilsen,11.0
lieberman,52.0
ritesh,33.0
patil,33.0
rohan,16.0
belday,16.0
lathan,9.0
skrobarcek,9.0
chodur,13.0
nikola,23.0
parichkov,23.0
mile,74.0
jones,59.0
hudson,59.0
rivera,59.0
karan,10.67
raghavendra,18.0
mazev,45.0
rithvik,2.0
katpelly,2.0
andrea,5.0
chacon,5.0
rebekkah,9.0
gaines,9.0
oziera,12.0
ahmad,12.0
lyla,15.0
byers,15.0
kirsten,3.0
wood,3.0
sabritt,15.0
dozier,15.0
jaedan,8.0
linda,3.0
zietssegura,3.0
shelby,42.0
prince,42.0
ananya,2.0
sriniketh,2.0
gruber,34.0
arant,4.0
anastasia,60.0
sysoeva,60.0
jeselle,8.0
mari,8.0
jayme,8.0
ante,8.0
patsy,15.0
daughter,15.0
hayden,7.0
mulberry,7.0
outcalt,20.0
amina,97.0
salibayeva,97.0
charlap,14.0
azariah,46.5
rusher,46.5
katya,1.0
shepherd,1.0
monchengladbach,8.0
nika,8.0
beukers,8.0
grodzisk,423.0
mazowiecki,423.0
poland,423.0
toby,423.0
kodat,423.0
kyle,265.0
kang,265.0
sachiv,5.0
gregory,28.0
gamal,28.0
xavier,24.0
calvelo,24.0
emmi,23.0
kolyszko,23.0
nordikyan,11.0
chicago,400.85
fenty,223.67
seggerman,448.5
kozlov,875.0
david,20.0
krasner,20.0
james,7.0
lorenzetti,7.0
payton,3.0
jim,3.0
sheehy,225.5
singapore,18.33
aayush,18.33
bhat,18.33
tauste,156.8
tweed,57.67
head,57.67
landisville,331.69
simone,28.0
kay,28.0
marley,21.0
lambert,21.0
leyden,19.0
game,19.0
alexia,23.0
harmon,23.0
cincinnati,8684.92
christopher,4273.0
eubanks,4273.0
iva,2451.5
jovic,2451.5
lucca,65.0
southaven,191.89
lewis,55.0
violeta,14.0
martinez,14.0
carson,49.0
tanguilig,49.0
malaika,176.0
rapolu,176.0
leipzig,120.0
rasheeda,120.0
mcadoo,120.0
shtrikman,2.0
stephanie,10.0
shogreen,10.0
frey,348.0
olivia,27.0
center,27.0
lauren,584.5
davis,593.0
godsick,64.0
cannon,382.0
kingsley,311.0
slovenske,12.0
konjice,12.0
sieg,214.0
raveena,98.0
joyee,16.0
chan,16.0
peyton,3526.0
stearns,3526.0
rudy,228.0
quan,228.0
valeria,17.0
ray,17.0
ourense,192.0
rachel,93.0
gailis,93.0
athens,17.64
felipe,3.0
pinzon,3.0
moreno,3.0
nikita,20.0
samuel,20.0
filin,20.0
jordan,15.0
reznik,15.0
boise,13.71
vincent,1.0
yang,1.0
jason,7.0
shuler,7.0
brett,4.0
pearson,4.0
seversen,6.0
ahmani,21.0
guichard,21.0
lillie,9.0
hammond,19.0
esposito,29.0
cogan,29.0
boyce,27.86
mai,10.0
alexandra,3.0
torre,3.0
kennnedy,2.0
ariana,19.0
anazagastypursoo,37.0
olsen,2.0
zehra,0.0
suko,0.0
aiva,2.0
schmitz,2.0
ella,6.0
piron,6.0
dallas,14.73
daskalova,11.0
saniya,16.0
singh,12.4
lizanne,6.0
meghan,18.0
arun,18.0
alisa,1.0
lansky,1.0
flores,107.0
jenson,4448.0
brooksby,4448.0
zhengqing,22.0
hardy,5.0
deatherage,36.0
sage,4.0
bergeson,4.0
susana,19.0
souhrada,19.0
esther,22.0
lovato,22.0
hersonissos,170.0
greece,170.0
tricia,74.0
mar,74.0
mingyue,4.0
deng,4.0
emma,9665.0
navarro,9665.0
barranquilla,300.7
colombia,300.7
bulgaria,343.0
amersfoort,343.0
netherlands,343.0
sebastian,29.0
sec,29.0
kershner,2.0
littell,7.0
sumter,360.0
patrik,98.33
trhac,98.33
stalder,75.5
damm,771.67
huntsville,64.76
heng,16.0
turku,26.0
aldershot,80.75
stringer,42.5
khrystyna,72.0
vozniak,72.0
rhiann,55.33
newborn,55.33
slama,37.0
saskatoon,312.67
rachael,31.0
pittsclark,2.0
norman,16.54
yokohama,19.13
wen,9.0
dmitri,10.0
goubin,10.0
fernandez,19.0
aditya,26.75
vyas,26.75
augustin,22.5
maxime,22.5
miramontes,22.5
belgrade,23.67
ksenia,23.67
meshcheryakova,23.67
gilbert,1.0
duong,4.5
alekseykina,1.0
ronald,64.0
hohmann,64.0
simon,1.0
caldwell,1.0
saahil,2.0
gupte,2.0
targu,9.0
jiu,9.0
jose,9.0
murariu,9.0
idanhaanova,190.0
hrastar,65.0
mckenna,13.0
schaefbauer,13.0
aoife,4.0
paola,38.0
lopez,38.0
jacqueline,1.0
schnabel,1.0
piper,9.0
charney,9.0
vigo,197.0
kaede,38.0
usui,38.0
daria,1.0
budko,1.0
